bio6,bio11,bio12,bio13,bio2,bio3,bio4,bio5,bio14,bio15,label,fold,decimalLongitude,decimalLatitude
-0.36375,4.2812915,1148.0,188.0,7.059833,22.549614,907.1826,30.94425,26.0,53.312294,1,2,117.805448,31.555229
-3.081,2.4907084,869.0,223.0,8.83102,26.331781,948.9629,30.4565,18.0,84.05604,1,1,119.141047,33.51127
-6.89725,-1.3551667,784.0,146.0,8.366833,29.405027,718.1828,21.5565,5.0,79.34116,1,0,104.831537,32.547722
0.83,6.1068335,1722.0,286.0,8.153479,28.305286,735.8302,29.6355,36.0,53.086643,1,2,119.63581,27.9732
-5.214,0.9352083,1049.0,191.0,8.915209,37.56975,554.752,18.51575,14.0,66.85304,1,3,98.664847,27.742705
-1.88625,3.6416667,976.0,200.0,8.658375,26.327452,921.80597,31.001,27.0,61.730423,1,1,118.275089,32.272749
-4.30175,1.6976666,614.0,108.0,10.144229,28.448477,949.68695,31.3565,8.0,66.60459,1,0,108.960103,34.220086
-0.47325,4.3876667,1413.0,238.0,7.79825,24.998398,869.407,30.72175,34.0,50.781017,1,3,118.362914,30.592628
0.633,5.6879582,1153.0,180.0,7.8071666,25.499033,835.67236,31.2505,23.0,57.83013,1,1,111.408186,30.228967
2.09625,6.987458,974.0,237.0,7.395521,27.292767,714.50665,29.19325,7.0,97.2106,1,3,104.28817,30.501446
0.99375,5.609208,1499.0,286.0,7.3716664,23.871977,881.8317,31.87375,33.0,55.64331,1,1,117.07396,30.55789
-6.62075,-0.35325006,663.0,212.0,9.553166,25.600554,1058.3744,30.6955,4.0,115.63913,1,0,116.831383,36.534153
-0.71750003,4.2975,1392.0,222.0,7.957417,25.361073,858.9902,30.659,37.0,48.204742,1,1,119.44771,30.32372
2.8975,7.7262917,1431.0,210.0,7.8279166,25.270298,841.6802,33.87425,50.0,45.663242,1,0,112.57197,26.893159
-0.62,4.3655,1664.0,290.0,7.6352086,24.924984,846.12354,30.01275,41.0,54.81151,1,3,118.076421,29.906113
-10.2245,-2.4961667,535.0,183.0,11.881333,28.980806,1113.6486,30.77275,3.0,132.81978,1,1,116.262065,40.152052
0.10525,4.8959165,1424.0,233.0,7.633875,25.852785,800.83606,29.6335,29.0,58.23732,1,3,110.487136,29.409881
13.268835,16.615808,3057.0,643.0,5.247741,36.774853,324.52405,27.538754,49.0,88.219124,1,2,120.956025,22.643958
14.57234,19.25851,1990.0,476.0,6.849911,39.815212,371.66275,31.776596,12.0,105.67975,1,3,120.284151,22.656242
-10.911,-3.2135,511.0,173.0,11.864917,28.95524,1112.9858,30.06575,2.0,131.79718,1,1,116.325291,40.308392
-5.9225,-1.0886667,816.0,144.0,7.7802916,26.771818,785.8482,23.139,7.0,72.540146,1,0,107.761819,33.603297
-1.7985001,3.0134165,1763.0,304.0,7.2021875,24.380516,823.5072,27.74225,42.0,53.484604,1,3,118.160678,30.132764
-0.8095,4.131625,1125.0,183.0,7.646917,24.183798,887.6909,30.8105,32.0,53.642353,1,1,119.706292,31.177753
4.965,9.675208,1810.0,343.0,7.5298123,27.314587,745.1776,32.532,47.0,66.36085,1,2,110.301597,25.283261
1.24025,6.4657917,1687.0,305.0,8.244854,26.454218,844.2405,32.40675,44.0,58.163692,1,2,117.262611,29.248733
0.25425,4.92675,1520.0,250.0,7.610646,23.985079,885.5063,31.985,42.0,52.684963,1,0,115.958443,29.565569
0.70075,5.5125833,1422.0,240.0,7.7481456,25.877613,810.94684,30.64225,31.0,58.216022,1,3,110.465673,29.027162
0.55775,5.637125,1383.0,242.0,8.264313,25.464499,899.9922,33.012,36.0,55.701378,1,4,115.100022,30.194717
0.3915,4.6405,1217.0,197.0,7.33425,25.947939,766.59174,28.65675,28.0,59.312668,1,0,108.662763,27.763497
-0.9025,4.2359166,1394.0,227.0,8.083146,25.700964,860.00507,30.54825,36.0,49.24708,1,1,119.154279,30.372809
-1.21975,3.7764165,1448.0,236.0,7.8416457,25.293592,853.6447,29.78275,37.0,49.41252,1,1,118.978964,30.348924
0.00025000016,4.9484167,1280.0,228.0,8.037771,25.41226,895.32324,31.629751,28.0,53.506737,1,2,117.586217,31.246973
-0.409,4.6982913,1284.0,207.0,8.089687,25.373642,877.1408,31.47325,35.0,50.04674,1,1,119.6,30.53
-0.43525,4.526708,1706.0,257.0,7.5421457,26.401834,759.37915,28.1315,47.0,49.484512,1,0,114.127067,26.6007
-9.31525,-1.9945416,566.0,197.0,11.49173,28.439066,1106.2345,31.093,3.0,134.64966,1,1,116.27,39.96
-1.077,4.083875,1756.0,269.0,7.7768335,27.866215,730.0038,26.83075,48.0,50.807667,1,0,113.950197,26.231647
1.104,6.1363335,1112.0,184.0,7.9088335,25.753704,841.05664,31.8135,22.0,59.688183,1,1,111.4501,30.37846
-17.091,-8.275,972.0,266.0,11.149667,25.404095,1192.0564,26.79825,10.0,104.00165,1,1,124.510838,40.533541
-0.205,4.5234165,966.0,154.0,6.993375,22.419514,894.4388,30.98825,32.0,54.143414,1,4,120.339333,31.45579
1.20225,5.718625,1049.0,162.0,7.0448127,23.320246,859.5108,31.41125,43.0,50.11937,1,4,121.45,31.18
1.66425,5.5825,1068.0,183.0,7.4437914,26.901056,742.0062,29.33525,17.0,66.664986,1,1,106.952477,27.80193
-9.31525,-1.9945416,566.0,197.0,11.49173,28.439066,1106.2345,31.093,3.0,134.64966,1,1,116.208574,39.989671
-1.0605,4.2032084,1111.0,184.0,8.296145,25.371445,915.73865,31.63825,28.0,52.86868,1,1,118.544396,31.604692
-1.7985001,3.0134165,1763.0,304.0,7.2021875,24.380516,823.5072,27.74225,42.0,53.484604,1,3,118.006208,30.022336
-2.3315,3.6030002,987.0,174.0,9.5894375,29.449554,855.3016,30.23075,13.0,65.685,1,2,111.011139,32.422661
1.20225,5.718625,1049.0,162.0,7.0448127,23.320246,859.5108,31.41125,43.0,50.11937,1,4,121.49,31.23
-0.74725,3.9245,1708.0,308.0,7.2306457,24.176697,840.2339,29.16025,39.0,55.074383,1,2,117.472,30.064
-0.052500002,4.355625,1020.0,170.0,6.891958,22.666254,886.1337,30.35375,31.0,55.15155,1,4,120.882256,31.952335
1.855,6.65825,1490.0,216.0,7.630146,24.801386,837.0824,32.62,49.0,45.2072,1,1,112.699933,27.292809
-2.6535,1.8468332,1423.0,214.0,7.5211043,26.570473,759.0286,25.65275,25.0,60.518116,1,1,109.02,30.35
-2.3405,2.62275,1640.0,265.0,7.538334,25.165318,822.96344,27.61475,41.0,50.00881,1,0,118.866,30.089
-4.664912,0.4633528,704.0,173.0,7.3270955,22.408222,952.7556,28.033333,10.0,93.9617,1,1,120.68763,36.365971
0.095750004,5.1138334,1625.0,283.0,7.8407707,25.183342,859.9601,31.2305,43.0,55.50827,1,2,118.036644,29.80615
4.4645,10.225041,1608.0,260.0,8.813562,31.615894,683.5697,32.3415,40.0,57.086426,1,0,115.705803,25.220076
1.16025,6.5700836,1600.0,273.0,8.516792,28.10637,777.2073,31.46225,34.0,50.62864,1,2,119.543472,28.46352
-10.6895,-2.7295833,542.0,198.0,11.989959,28.91498,1125.3757,30.77675,3.0,137.28893,1,1,116.52,40.03
-2.5295,3.4727082,894.0,185.0,9.307896,27.55874,942.3178,31.24525,22.0,63.068665,1,4,116.787187,32.5825
0.12375,4.8048334,951.0,153.0,6.9827085,22.496744,889.94305,31.1625,31.0,53.896782,1,4,120.580441,31.336317
1.66025,6.6053753,1245.0,179.0,7.6904583,25.193554,837.5057,32.18575,44.0,42.68202,1,2,121.609847,29.945612
-8.988,-1.883625,569.0,204.0,11.2605,27.964066,1110.0591,31.279749,4.0,136.13866,1,1,116.41,39.88
0.81,5.840625,1583.0,234.0,8.151751,27.03216,805.8058,30.96575,46.0,48.243843,1,2,114.164786,27.226597
0.55675,6.006583,1048.0,234.0,8.222709,29.794851,698.79,28.154501,9.0,91.51985,1,4,103.556384,30.907964
-3.89725,2.657,619.0,146.0,10.414375,29.045404,952.91077,31.95825,6.0,81.80293,1,0,112.470828,34.554599
0.80825,5.503625,979.0,154.0,7.171812,23.541733,864.1736,31.2725,40.0,49.57954,1,4,121.29,31.14
-9.31525,-1.9945416,566.0,197.0,11.49173,28.439066,1106.2345,31.093,3.0,134.64966,1,1,116.264703,39.845656
0.461,5.3462086,1390.0,226.0,7.808271,26.14807,807.6211,30.32275,29.0,57.757843,1,3,110.534561,29.347807
-1.26675,3.77225,1017.0,213.0,8.398541,25.434134,939.5369,31.754,29.0,64.831345,1,1,119.36,32.38
1.2045,8.768916,928.0,187.0,11.009292,47.42778,451.25037,24.41725,13.0,83.45911,1,0,102.740493,25.139624
1.815,6.79075,1564.0,287.0,7.8565207,24.825481,871.3786,33.462,40.0,60.540794,1,0,115.799746,28.665492
1.20425,5.7893333,1039.0,161.0,7.0777707,23.58176,852.71454,31.218,40.0,51.559143,1,4,121.548637,31.215693
-3.45425,2.068,724.0,189.0,8.266896,24.554346,963.24713,30.213501,18.0,96.4812,1,4,118.33,34.15
-2.976,3.1466248,784.0,184.0,9.452562,27.395357,959.8318,31.52825,22.0,73.40594,1,4,117.0,33.1
-4.072414,0.89030176,698.0,160.0,7.2244973,22.059534,948.6907,28.677586,12.0,87.510765,1,1,120.39,36.08
-7.44175,-0.71874994,731.0,231.0,10.638646,28.473173,1034.6398,29.922,7.0,110.829765,1,0,117.344864,36.146782
1.58825,9.564083,870.0,155.0,11.545792,48.53365,450.16562,25.3775,14.0,71.86807,1,3,100.32,25.18
1.4145,6.5970416,1813.0,316.0,8.200916,30.652473,667.46436,28.169,40.0,58.7685,1,4,118.97701,26.908368
0.133,4.8335834,1175.0,193.0,7.094604,22.781467,882.7347,31.275,38.0,54.269573,1,4,120.13,30.88
